order_completed_at,unique_order_count,year,month,day,dayofweek_num,midmonth,payday,double_date
2024-03-04,183,2024,3,4,0,0,0,0
2024-03-05,151,2024,3,5,1,0,0,0
2024-03-06,206,2024,3,6,2,0,0,0
2024-03-07,210,2024,3,7,3,0,0,0
2024-03-08,191,2024,3,8,4,0,0,0
2024-03-09,153,2024,3,9,5,0,0,0
2024-03-10,171,2024,3,10,6,0,0,0
2024-03-11,189,2024,3,11,0,0,0,0
2024-03-12,196,2024,3,12,1,0,0,0
2024-03-13,162,2024,3,13,2,0,0,0
2024-03-14,160,2024,3,14,3,0,0,0
2024-03-15,185,2024,3,15,4,1,0,0
2024-03-16,150,2024,3,16,5,0,0,0
2024-03-17,136,2024,3,17,6,0,0,0
2024-03-18,148,2024,3,18,0,0,0,0
2024-03-19,175,2024,3,19,1,0,0,0
2024-03-20,173,2024,3,20,2,0,0,0
2024-03-21,161,2024,3,21,3,0,0,0
2024-03-22,113,2024,3,22,4,0,0,0
2024-03-23,130,2024,3,23,5,0,0,0
2024-03-24,115,2024,3,24,6,0,0,0
2024-03-25,163,2024,3,25,0,0,1,0
2024-03-26,147,2024,3,26,1,0,1,0
2024-03-27,157,2024,3,27,2,0,1,0
2024-03-28,150,2024,3,28,3,0,1,0
2024-03-29,142,2024,3,29,4,0,1,0
2024-03-30,141,2024,3,30,5,0,1,0
2024-03-31,128,2024,3,31,6,0,1,0
2024-04-01,139,2024,4,1,0,0,0,0
2024-04-02,163,2024,4,2,1,0,0,0
2024-04-03,143,2024,4,3,2,0,0,0
2024-04-04,222,2024,4,4,3,0,0,1
2024-04-05,116,2024,4,5,4,0,0,0
2024-04-06,125,2024,4,6,5,0,0,0
2024-04-07,140,2024,4,7,6,0,0,0
2024-04-08,136,2024,4,8,0,0,0,0
2024-04-09,114,2024,4,9,1,0,0,0
2024-04-10,168,2024,4,10,2,0,0,0
2024-04-11,144,2024,4,11,3,0,0,0
2024-04-12,80,2024,4,12,4,0,0,0
2024-04-13,27,2024,4,13,5,0,0,0
2024-04-14,24,2024,4,14,6,0,0,0
2024-04-15,49,2024,4,15,0,1,0,0
2024-04-16,84,2024,4,16,1,0,0,0
2024-04-17,138,2024,4,17,2,0,0,0
